,Website Location Sales Revenue Tech Spend Social Employees Traffic,
,ababank.com,Cambodia,,$250+,,,-,
,soyo.sabay.com,Cambodia,,$5000+,"20,000+",,-,
,realestate.com.kh,Cambodia,,$50+,250+,,Medium,
,xilnex.com,Cambodia,,$2000+,,,-,
,cellcard.com.kh,Cambodia,,$5000+,250+,,Medium,
,freetoshine.org,Cambodia,,$100+,,,-,
,inventorgroup.asia,Cambodia,,$0+,,,-,
,g2k.asia,Cambodia,,$10+,,,-,
,bdv.photography,Cambodia,,$1000+,500+,,-,
,doliprane.com.kh,Cambodia,,$500+,,,-,
