,Website Location Sales Revenue Tech Spend Social Employees Traffic,
,angkorvetclinic.com,Cambodia,$1k+,$100+,50+,,-,
,ciaschool.edu.kh,Cambodia,,$100+,,,-,
,mrrenting.com,Cambodia,$30k+,$1000+,,,-,
