,Website Location Sales Revenue Tech Spend Social Employees Traffic,
,economy.ams.com.kh,Cambodia,,$250+,,,Medium,
,yuanshengangkor.com,Cambodia,$1k+,$10+,,,-,
,krudmedia.com,Cambodia,$1k+,$100+,,,-,
,maxbit.com.kh,Cambodia,,$500+,,,-,
